rab.all,rab.win.sentinel,rab.win.bulk,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH,type,species,year
2.071121205,0.877328821,3.771487579,2.897498526,1.335310819,2.570132859,0.000137056,0.000213049,0.000852197,0.0001554,0.000604604,1,non-motile,2020
-3.779458631,-3.129254933,-8.635682974,-5.414553312,2.643921545,-1.890201755,0.027345162,0.001232346,0.002247929,0.000735723,0.001392126,2,gliding,2020
2.173233198,1.293613976,4.897756154,3.673906793,0.823007272,4.285416483,0.000137056,3.55E-05,0.00014187,0.0001554,0.000604604,2,non-motile,2020
1.401701852,1.180118779,2.915660447,1.698045638,0.851452201,1.899030895,0.048828897,0.00177732,0.00236976,0.001772533,0.002363377,2,motile,2020
-3.246327147,-2.863967033,-4.90146231,-2.112875617,2.391835101,-1.116345968,0.003908654,0.015406419,0.029841303,0.000246455,0.00049291,4,gliding,2020
2.176613236,1.356212527,3.545237081,2.194824535,0.939836365,2.745884359,0.000137056,0.000339416,0.001357662,0.0001554,0.000422494,4,non-motile,2020
-3.366329268,-2.514782978,-7.461455673,-4.961522159,2.896537064,-1.627857483,0.000137056,0.003502593,0.006888219,0.0001554,0.0002072,8,gliding,2020
2.468259076,1.423636099,4.478162326,3.02172048,0.994602728,3.136876501,0.000137056,0.00013773,0.000550921,0.0001554,0.0002072,8,non-motile,2020
1.254196013,1.05866998,2.486408444,1.413722737,0.988660997,1.404581683,0.000137056,0.006121778,0.008162371,0.0001554,0.0002072,8,motile,2020
-3.022264325,-2.194941522,-4.276814837,-2.102493722,3.173314193,-1.305454085,0.000137056,0.015390802,0.030781604,0.0001554,0.0003108,12,gliding,2020
2.401033006,1.278175828,3.43074111,2.118930193,0.848355103,3.145937852,0.000137056,0.000458979,0.001835917,0.0001554,0.0003108,12,non-motile,2020
-1.790034323,0.042851268,-2.113387487,-2.156381209,0.322010118,-6.751776253,0.000156633,6.41E-10,1.05E-09,0.0003108,0.0004662,1,flagella,2021
1.847224452,-0.497614691,2.059514458,2.563904177,0.339501024,7.588852227,0.000156633,3.84E-10,6.78E-10,0.0003108,0.0004662,1,non-motile,2021
0.12935146,0.440831922,0.008242417,-0.40592132,0.320488227,-1.242440804,0.097996016,0.005300784,0.005300784,0.008328477,0.008328477,1,motile,2021
1.474801123,2.949992846,0.368738158,-2.545966343,1.324537388,-1.821054331,0.038987329,0.00199915,0.003747535,0.002615093,0.005536131,2,flagella,2021
3.991625807,2.960367751,4.849148648,1.913688469,1.421305556,1.266899592,0.089844149,0.010704791,0.015966018,0.011310218,0.018122329,2,non-motile,2021
-5.015312824,-3.718949209,-8.266174025,-4.151558258,3.288330081,-1.153579257,0.078125466,0.013308332,0.01797551,0.004547883,0.006390831,4,gliding,2021
3.423897365,1.573989566,4.876240334,3.251690107,1.126375171,2.761839862,0.015597038,0.000206264,0.000825055,0.000496552,0.001551573,4,non-motile,2021
1.853029261,1.566308575,2.754373369,1.327894941,0.983110503,1.199210478,0.078125466,0.013060969,0.017916063,0.004263792,0.006158136,4,motile,2021
-5.047452335,-3.755531237,-8.064485649,-4.389017271,2.002632164,-2.119347391,0.000137056,0.000861467,0.001490198,0.000176039,0.000274378,8,gliding,2021
2.997546122,1.730399895,4.989222003,3.31944061,0.702080232,4.737764367,0.000137056,9.87E-06,3.95E-05,0.0001554,0.000264666,8,non-motile,2021
1.77647666,1.213380027,2.760785805,1.527015862,0.797646113,1.819803861,0.007802295,0.001206837,0.001670785,0.000352078,0.000472675,8,motile,2021
-2.438820209,-0.589398189,-6.44412029,-5.964437703,2.254210824,-2.507759047,0.000137056,0.000455137,0.001037503,0.00016147,0.000459321,12,gliding,2021
5.567950666,3.727285007,6.732137105,3.071160122,1.225874275,2.500104052,0.005866088,0.000116803,0.000317539,0.000365433,0.000914595,12,non-motile,2021
