week,cs,csswp,type,amplicon_year
0,4,8,bulk,bacteria_2020
1,7,18,bulk,bacteria_2020
2,3,8,bulk,bacteria_2020
4,20,9,bulk,bacteria_2020
8,2,5,bulk,bacteria_2020
12,4,6,bulk,bacteria_2020
1,6,10,sentinel,bacteria_2020
2,10,16,sentinel,bacteria_2020
4,13,21,sentinel,bacteria_2020
8,3,8,sentinel,bacteria_2020
12,7,41,sentinel,bacteria_2020
0,10,8,bulk,fungi_2020
1,15,19,bulk,fungi_2020
2,13,14,bulk,fungi_2020
4,23,15,bulk,fungi_2020
8,8,11,bulk,fungi_2020
12,19,14,bulk,fungi_2020
1,5,14,sentinel,fungi_2020
2,8,7,sentinel,fungi_2020
4,7,8,sentinel,fungi_2020
8,9,8,sentinel,fungi_2020
12,8,8,sentinel,fungi_2020
0,22,6,bulk,bacteria_2021
1,33,1,bulk,bacteria_2021
2,3,2,bulk,bacteria_2021
4,2,4,bulk,bacteria_2021
8,2,5,bulk,bacteria_2021
12,16,3,bulk,bacteria_2021
1,13,10,sentinel,bacteria_2021
2,4,6,sentinel,bacteria_2021
4,8,6,sentinel,bacteria_2021
8,19,19,sentinel,bacteria_2021
12,18,14,sentinel,bacteria_2021
0,7,12,bulk,fungi_2021
1,7,8,bulk,fungi_2021
2,2,8,bulk,fungi_2021
4,10,6,bulk,fungi_2021
8,6,13,bulk,fungi_2021
12,6,12,bulk,fungi_2021
1,9,6,sentinel,fungi_2021
2,10,9,sentinel,fungi_2021
4,1,6,sentinel,fungi_2021
8,5,9,sentinel,fungi_2021
12,5,10,sentinel,fungi_2021
